Year,Category,Total,"Food-secure households-1,000",Food-secure households-percent,"Food-insecure households-1,000",Food-insecure households-percent,"Households with food-insecure children-1,000",Households with food-insecure children-percent,"Households with very low food security among children-1,000",Households with very low food security among children-percent,
1998,Children - by food security status of household," 	71,282 "," 	57,255 ",80.3," 	14,027 ",19.7," 	7,840 ",11.0, 	716 ,1.0,
1998,Households with Children," 	38,036 "," 	31,335 ",82.4," 	6,701 ",17.6," 	3,627 ",9.5, 	331 ,0.9,
1999,Children - by food security status of household," 	71,418 "," 	59,344 ",83.1," 	12,074 ",16.9," 	6,996 ",9.8, 	511 ,0.7,
1999,Households with Children," 	37,884 "," 	32,290 ",85.2," 	5,594 ",14.8," 	3,089 ",8.2, 	219 ,0.6,
2000,Children - by food security status of household," 	71,763 "," 	58,867 ",82.0," 	12,896 ",18.0," 	7,018 ",9.8, 	562 ,0.8,
2000,Households with Children," 	38,113 "," 	31,942 ",83.8," 	6,171 ",16.2," 	3,282 ",8.6, 	255 ,0.7,
2001,Children - by food security status of household," 	72,321 "," 	59,620 ",82.4," 	12,701 ",17.6," 	6,866 ",9.5, 	467 ,0.6,
2001,Households with Children," 	38,330 "," 	32,141 ",83.9," 	6,189 ",16.1," 	3,225 ",8.4, 	211 ,0.6,
2002,Children - by food security status of household," 	72,542 "," 	59,415 ",81.9," 	13,127 ",18.1," 	7,397 ",10.2, 	567 ,0.8,
2002,Households with Children," 	38,647 "," 	32,267 ",83.5," 	6,380 ",16.5," 	3,456 ",8.9, 	265 ,0.7,
2003,Children - by food security status of household," 	72,969 "," 	59,704 ",81.8," 	13,265 ",18.2," 	7,388 ",10.1, 	420 ,0.6,
2003,Households with Children," 	40,286 "," 	33,575 ",83.3," 	6,711 ",16.7," 	3,606 ",9.0, 	207 ,0.5,
2004,Children - by food security status of household," 	73,039 "," 	59,171 ",81.0," 	13,868 ",19.0," 	7,823 ",10.7, 	545 ,0.7,
